date,cases,deaths
21-Jan-2020,1,0
22-Jan-2020,0,0
23-Jan-2020,0,0
24-Jan-2020,1,0
25-Jan-2020,1,0
26-Jan-2020,2,0
27-Jan-2020,0,0
28-Jan-2020,0,0
29-Jan-2020,0,0
30-Jan-2020,1,0
31-Jan-2020,1,0
1-Feb-2020,1,0
2-Feb-2020,3,0
3-Feb-2020,0,0
4-Feb-2020,0,0
5-Feb-2020,1,0
6-Feb-2020,0,0
7-Feb-2020,0,0
8-Feb-2020,0,0
9-Feb-2020,0,0
10-Feb-2020,1,0
11-Feb-2020,0,0
12-Feb-2020,1,0
13-Feb-2020,1,0
14-Feb-2020,0,0
15-Feb-2020,0,0
16-Feb-2020,0,0
17-Feb-2020,10,0
18-Feb-2020,0,0
19-Feb-2020,0,0
20-Feb-2020,2,0
21-Feb-2020,3,0
22-Feb-2020,0,0
23-Feb-2020,0,0
24-Feb-2020,13,0
25-Feb-2020,2,0
26-Feb-2020,15,0
27-Feb-2020,0,0
28-Feb-2020,5,0
29-Feb-2020,5,1
1-Mar-2020,18,2
2-Mar-2020,16,3
3-Mar-2020,21,4
4-Mar-2020,36,2
5-Mar-2020,67,0
6-Mar-2020,83,3
7-Mar-2020,117,4
8-Mar-2020,119,3
9-Mar-2020,201,4
10-Mar-2020,270,5
11-Mar-2020,245,6
12-Mar-2020,405,6
13-Mar-2020,556,7
14-Mar-2020,674,10
15-Mar-2020,702,8
16-Mar-2020,907,23
17-Mar-2020,1399,26
18-Mar-2020,2444,45
19-Mar-2020,4043,50
20-Mar-2020,5619,65
21-Mar-2020,6516,83
22-Mar-2020,8545,98
23-Mar-2020,10432,121
24-Mar-2020,10433,206
25-Mar-2020,14634,269
26-Mar-2020,16998,299
27-Mar-2020,17330,417
28-Mar-2020,21066,530
29-Mar-2020,18520,418
30-Mar-2020,21469,650
31-Mar-2020,24506,936
1-Apr-2020,26930,1021
2-Apr-2020,29717,1216
3-Apr-2020,32318,1391
4-Apr-2020,35099,1556
5-Apr-2020,25616,1368
6-Apr-2020,30916,1526
7-Apr-2020,30337,2234
8-Apr-2020,31820,2085
9-Apr-2020,34699,2120
10-Apr-2020,33473,2263
11-Apr-2020,31720,2084
12-Apr-2020,27143,1681
13-Apr-2020,25769,1764
14-Apr-2020,26691,2705
15-Apr-2020,30033,2752
16-Apr-2020,31613,2349
17-Apr-2020,31509,2289
18-Apr-2020,28398,1951
19-Apr-2020,25334,1520
20-Apr-2020,27330,1837
21-Apr-2020,25508,2672
22-Apr-2020,28832,2371
23-Apr-2020,33773,2169
24-Apr-2020,36739,2132
25-Apr-2020,34408,1967
26-Apr-2020,26735,1253
27-Apr-2020,23189,1442
28-Apr-2020,24634,2394
29-Apr-2020,26554,2514
30-Apr-2020,30339,2210
1-May-2020,33964,1762
2-May-2020,29474,1583
3-May-2020,26140,1331
4-May-2020,21961,1089
5-May-2020,23705,2234
6-May-2020,24485,2708
7-May-2020,28475,1958
8-May-2020,27642,1575
9-May-2020,24868,1454
10-May-2020,20317,932
11-May-2020,17618,982
12-May-2020,22299,1652
13-May-2020,21141,1768
14-May-2020,26961,1738
15-May-2020,26223,1593
16-May-2020,23659,1225
17-May-2020,19014,844
18-May-2020,21820,846
19-May-2020,20968,1520
20-May-2020,23064,1477
21-May-2020,25733,1311
22-May-2020,23793,1288
23-May-2020,22268,1050
24-May-2020,20031,620
25-May-2020,19100,510
26-May-2020,18889,747
27-May-2020,18741,1485
28-May-2020,22468,1200
29-May-2020,24547,1190
30-May-2020,23397,963
31-May-2020,20634,604
1-Jun-2020,21894,734
2-Jun-2020,20786,1082
3-Jun-2020,19979,989
4-Jun-2020,21614,1008
5-Jun-2020,28697,1112
6-Jun-2020,22516,728
7-Jun-2020,18616,390
8-Jun-2020,18201,722
9-Jun-2020,18804,1030
10-Jun-2020,23155,929
11-Jun-2020,23202,877
12-Jun-2020,25493,779
13-Jun-2020,25334,692
14-Jun-2020,19130,317
15-Jun-2020,20117,448
16-Jun-2020,24885,769
17-Jun-2020,25655,761
18-Jun-2020,28059,727
19-Jun-2020,30836,698
20-Jun-2020,32025,546
21-Jun-2020,26379,257
22-Jun-2020,30466,360
23-Jun-2020,35058,833
24-Jun-2020,36989,767
25-Jun-2020,41173,2466
26-Jun-2020,45526,633
27-Jun-2020,42304,511
28-Jun-2020,39078,270
29-Jun-2020,39917,348
30-Jun-2020,48395,1300
1-Jul-2020,49977,642
2-Jul-2020,55555,723
3-Jul-2020,56523,590
4-Jul-2020,50640,262
5-Jul-2020,44766,262
6-Jul-2020,47315,391
7-Jul-2020,54157,958
8-Jul-2020,59459,948
9-Jul-2020,59899,841
10-Jul-2020,68227,828
11-Jul-2020,60728,675
12-Jul-2020,57807,395
13-Jul-2020,61571,425
14-Jul-2020,65601,954
15-Jul-2020,68348,971
16-Jul-2020,75697,958
17-Jul-2020,70923,901
18-Jul-2020,62454,775
19-Jul-2020,62275,412
20-Jul-2020,59883,531
21-Jul-2020,65274,1127
22-Jul-2020,69730,1136
23-Jul-2020,69998,1116
24-Jul-2020,73525,1147
25-Jul-2020,66771,884
26-Jul-2020,54212,440
27-Jul-2020,59179,1696
28-Jul-2020,63109,1324
