date,New cases,New deaths,cases,deaths
1/21/2020,1,0,1,0
1/22/2020,0,0,1,0
1/23/2020,0,0,1,0
1/24/2020,1,0,2,0
1/25/2020,1,0,3,0
1/26/2020,2,0,5,0
1/27/2020,0,0,5,0
1/28/2020,0,0,5,0
1/29/2020,0,0,5,0
1/30/2020,1,0,6,0
1/31/2020,1,0,7,0
2/1/2020,1,0,8,0
2/2/2020,3,0,11,0
2/3/2020,0,0,11,0
2/4/2020,0,0,11,0
2/5/2020,1,0,12,0
2/6/2020,0,0,12,0
2/7/2020,0,0,12,0
2/8/2020,0,0,12,0
2/9/2020,0,0,12,0
2/10/2020,1,0,13,0
2/11/2020,0,0,13,0
2/12/2020,1,0,14,0
2/13/2020,1,0,15,0
2/14/2020,0,0,15,0
2/15/2020,0,0,15,0
2/16/2020,0,0,15,0
2/17/2020,10,0,25,0
2/18/2020,0,0,25,0
2/19/2020,0,0,25,0
2/20/2020,2,0,27,0
2/21/2020,3,0,30,0
2/22/2020,0,0,30,0
2/23/2020,0,0,30,0
2/24/2020,13,0,43,0
2/25/2020,2,0,45,0
2/26/2020,15,0,60,0
2/27/2020,0,0,60,0
2/28/2020,5,0,65,0
2/29/2020,5,1,70,1
3/1/2020,18,2,88,3
3/2/2020,16,3,104,6
3/3/2020,21,4,125,10
3/4/2020,36,2,161,12
3/5/2020,67,0,228,12
3/6/2020,83,3,311,15
3/7/2020,117,4,428,19
3/8/2020,119,3,547,22
3/9/2020,201,4,748,26
3/10/2020,270,5,1018,31
3/11/2020,245,6,1263,37
3/12/2020,405,6,1668,43
3/13/2020,556,7,2224,50
3/14/2020,674,10,2898,60
3/15/2020,702,8,3600,68
3/16/2020,907,23,4507,91
3/17/2020,1399,26,5906,117
3/18/2020,2444,45,8350,162
3/19/2020,4043,50,12393,212
3/20/2020,5619,65,18012,277
3/21/2020,6516,83,24528,360
3/22/2020,8545,98,33073,458
3/23/2020,10432,121,43505,579
3/24/2020,10433,206,53938,785
3/25/2020,14634,269,68572,1054
3/26/2020,16998,299,85570,1353
3/27/2020,17330,417,102900,1770
3/28/2020,21066,530,123966,2300
3/29/2020,18520,418,142486,2718
3/30/2020,21469,650,163955,3368
3/31/2020,24506,936,188461,4304
4/1/2020,26930,1021,215391,5325
4/2/2020,29717,1216,245108,6541
4/3/2020,32318,1391,277426,7932
4/4/2020,35099,1556,312525,9488
4/5/2020,25616,1368,338141,10856
4/6/2020,30916,1526,369057,12382
4/7/2020,30337,2234,399394,14616
4/8/2020,31820,2085,431214,16701
4/9/2020,34699,2120,465913,18821
4/10/2020,33473,2263,499386,21084
4/11/2020,31720,2084,531106,23168
4/12/2020,27143,1681,558249,24849
4/13/2020,25769,1764,584018,26613
4/14/2020,26691,2705,610709,29318
4/15/2020,30033,2752,640742,32070
4/16/2020,31613,2349,672355,34419
