Month,State,Cases
Jan,Alabama,0
Feb,Alabama,0
Mar,Alabama,999
Apr,Alabama,7068
May,Alabama,17952
June,Alabama,38045
July,Alabama,81115
Jan,Alaska,0
Feb,Alaska,0
Mar,Alaska,133
Apr,Alaska,353
May,Alaska,469
June,Alaska,1132
July,Alaska,3204
Jan,Arizona,1
Feb,Arizona,1
Mar,Arizona,1298
Apr,Arizona,7648
May,Arizona,19936
June,Arizona,79399
July,Arizona,163918
Jan,Arkansas,0
Feb,Arkansas,0
Mar,Arkansas,564
Apr,Arkansas,3281
May,Arkansas,7253
June,Arkansas,20777
July,Arkansas,39447
Jan,California,3
Feb,California,28
Mar,California,8583
Apr,California,50470
May,California,113114
June,California,232153
July,California,467103
Jan,Colorado,0
Feb,Colorado,0
Mar,Colorado,2990
Apr,Colorado,15207
May,Colorado,26364
June,Colorado,32698
July,Colorado,44723
Jan,Connecticut,0
Feb,Connecticut,0
Mar,Connecticut,3128
Apr,Connecticut,27700
May,Connecticut,42201
June,Connecticut,46514
July,Connecticut,48983
Jan,Delaware,0
Feb,Delaware,0
Mar,Delaware,319
Apr,Delaware,4734
May,Delaware,9498
June,Delaware,11474
July,Delaware,14406
Jan,District of Columbia,0
Feb,District of Columbia,0
Mar,District of Columbia,495
Apr,District of Columbia,4323
May,District of Columbia,8801
June,District of Columbia,10327
July,District of Columbia,11858
Jan,Florida,0
Feb,Florida,0
Mar,Florida,6742
Apr,Florida,33683
May,Florida,56155
June,Florida,152426
July,Florida,432739
Jan,Georgia,0
Feb,Georgia,0
Mar,Georgia,4116
Apr,Georgia,25431
May,Georgia,45051
June,Georgia,77280
July,Georgia,155907
Jan,Guam,0
Feb,Guam,0
Mar,Guam,139
Apr,Guam,1115
May,Guam,1144
June,Guam,1228
July,Guam,1315
Jan,Hawaii,0
Feb,Hawaii,0
Mar,Hawaii,224
Apr,Hawaii,609
May,Hawaii,642
June,Hawaii,901
July,Hawaii,1688
Jan,Idaho,0
Feb,Idaho,0
Mar,Idaho,526
Apr,Idaho,2016
May,Idaho,2855
June,Idaho,6124
July,Idaho,18836
Jan,Illinois,2
Feb,Illinois,3
Mar,Illinois,5992
Apr,Illinois,52918
May,Illinois,120588
June,Illinois,144661
July,Illinois,174442
Jan,Indiana,0
Feb,Indiana,0
Mar,Indiana,2177
Apr,Indiana,18099
May,Indiana,35429
June,Indiana,46740
July,Indiana,64417
Jan,Iowa,0
Feb,Iowa,0
Mar,Iowa,498
Apr,Iowa,7145
May,Iowa,19621
June,Iowa,29152
July,Iowa,42696
Jan,Kansas,0
Feb,Kansas,0
Mar,Kansas,435
Apr,Kansas,4305
May,Kansas,9878
June,Kansas,14629
July,Kansas,26439
Jan,Kentucky,0
Feb,Kentucky,0
Mar,Kentucky,590
Apr,Kentucky,4708
May,Kentucky,9937
June,Kentucky,15916
July,Kentucky,28250
Jan,Louisiana,0
Feb,Louisiana,0
Mar,Louisiana,5237
Apr,Louisiana,28044
May,Louisiana,40021
June,Louisiana,58203
July,Louisiana,110029
Jan,Maine,0
Feb,Maine,0
Mar,Maine,303
Apr,Maine,1095
May,Maine,2325
June,Maine,3253
July,Maine,3832
Jan,Maryland,0
Feb,Maryland,0
Mar,Maryland,1662
Apr,Maryland,21825
May,Maryland,53456
June,Maryland,68152
July,Maryland,85436
Jan,Massachusetts,0
Feb,Massachusetts,1
Mar,Massachusetts,6620
Apr,Massachusetts,62205
May,Massachusetts,96965
June,Massachusetts,108882
July,Massachusetts,115926
Jan,Michigan,0
Feb,Michigan,0
Mar,Michigan,0
Apr,Michigan,0
May,Michigan,57355
